City,Population,Lat,Lon
Schijndel,23900,51.62,5.44
Sliedrecht,23800,51.83,4.75
Nuenen,23700,51.47,5.54
Steenbergen,23600,51.59,4.31
Wierden,23600,52.37,6.59
Putten,23500,52.27,5.61
Wijk,23500,51.99,5.35
Oudbeijerland,23300,51.83,4.42
Loonopzand,23200,51.63,5.07
Oldebroek,23100,52.45,5.9
Nieuwekerkaandenijssel,23100,51.98,4.63
Aalsmeer,22900,52.27,4.76
Rucphen,22800,51.53,4.56
Losser,22700,52.27,7.01
Goirle,22700,51.52,5.06
Borsele,22500,51.43,3.73
Voorschoten,22400,52.14,4.45
Kesteren,22400,51.94,5.57
Heiloo,22300,52.6,4.7
Hendrikidoambacht,22100,51.85,4.63
Lisse,22100,52.26,4.56
Woensdrecht,22000,51.43,4.3
Veere,22000,51.55,3.66
Elburg,21700,52.45,5.83
Laarbeek,21700,50.94,5.79
Brummen,21700,52.09,6.15
Oegestgeest,21600,52.18,4.47
Franekeradeel,21200,53.21,5.53
Leerdam,21200,51.89,5.09
Gendringen,21100,51.87,6.38
Hillegom,20900,52.3,4.57
Geertruidenberg,20900,51.69,4.91
Zeewolde,20900,52.37,5.54
Monster,20500,52.04,4.18
Zundert,20500,51.47,4.66
Cranendonck,20400,51.32,5.59
Borne,20400,52.32,6.72
Tubbergen,20400,52.42,6.77
Hulst,20000,51.29,4.05
Meerssen,20000,50.89,5.75
Vianen,19900,52.01,5.1
Bodegraven,19800,52.09,4.74
Dantumadeel,19700,53.3,6.01
Lichtenvoorde,19700,51.99,6.56
Leek,19700,53.17,6.37
sgravenzande,19700,52.01,4.15
Helden,19600,51.33,6
Lochem,19600,52.17,6.41
Bunschoten,19500,52.24,5.38
Wisch,19500,51.93,6.31
Westerveld,19300,52.84,6.36
Echt,19200,51.1,5.89
Bladel,19200,51.37,5.21
Rijnwoude,19100,52.09,4.54
Groesbeek,18900,51.79,5.93
Aalten,18900,51.94,6.57
Winschoten,18800,53.15,7.03
Haren,18800,53.17,6.6
Alblasserdam,18600,51.87,4.66
Someren,18600,51.39,5.71
Eersel,18500,51.37,5.31
Driebergenrijsenburg,18500,52.05,5.26
Westmaasenwaal,18400,51.79,4.47
Zuidhorn,18300,53.25,6.46
Oostburg,18300,51.34,3.5
Heerde,18200,52.39,6.05
Bergeijk,18100,51.32,5.36
Druten,18000,51.89,5.61
Weesp,17900,52.32,5.02
Oirschot,17900,51.52,5.31
Valkenburg,17800,50.87,5.83
Rhenen,17800,51.97,5.56
Hardinxveldgiessendam,17800,51.84,4.83
Middelharnis,17600,51.76,4.15
Enkhuizen,17500,52.71,5.29
Schagen,17400,52.79,4.79
Eemsmond,17400,53.4,6.61
Berkelenrodenrijs,17400,51.98,4.47
Zandvoort,17300,52.38,4.53
Bloemendaal,17300,52.4,4.61
Urk,17300,52.67,5.6
Waterland,17100,52.47,5.03
Ommen,17100,52.46,6.51
Sintoedenrode,17100,51.57,5.46
Beek,17100,50.94,5.79
Gennep,17000,51.7,5.96
Naarden,17000,52.3,5.14
Vlagtwedde,16900,53.03,7.11
Didam,16900,51.94,6.12
Eibergen,16800,52.11,6.64
Wateringen,16600,52.04,4.28
Waalre,16500,51.39,5.44
Nuth,16400,50.92,5.88
Westervoort,16200,51.97,5.96
Nederweert,16200,51.29,5.75
